id_estado,estado,ciudad,superficie_km2,lada,ambito,poblacion,altitud,centro,suroeste,noreste
1,Aguascalientes,Aguascalientes,385,449,U,863893,1878,"(21.880487, -102.2967195)","(21.720487, -102.4567195)","(22.040487, -102.1367195)"
1,Aguascalientes,Amarillas de Esparza,,496,R,826,2006,"(22.1987553, -102.4067532)","(22.1787553, -102.4267532)","(22.2187553, -102.3867532)"
1,Aguascalientes,Calvillo,931.3,495,U,21049,1632,"(21.8465121, -102.7185731)","(21.8065121, -102.7585731)","(21.8865121, -102.6785731)"
1,Aguascalientes,Ciénega Grande,,496,U,3883,2006,"(22.1938263, -102.0188702)","(22.1738263, -102.0388702)","(22.2138263, -101.9988702)"
1,Aguascalientes,Cosío,129.2,458,U,5870,2004,"(22.3664033, -102.3003739)","(22.3264033, -102.3403739)","(22.4064033, -102.2603739)"
1,Aguascalientes,General Ignacio Zaragoza (Venadero),,449,R,1610,2001,"(21.883071, -102.465181)",,
1,Aguascalientes,General José María Morelos y Pavón (Cañada Honda),,449,U,3822,1913,"(22.000604, -102.200656)",,
1,Aguascalientes,Jaltiche de Abajo,,495,R,482,1555,"(21.777407, -102.805471)",,
1,Aguascalientes,Jaltiche de Arriba,,495,R,1145,1600,"(21.775946, -102.788196)",,
1,Aguascalientes,Jaltomate,,449,U,2805,1936,"(22.0155972, -102.1423353)","(21.9755972, -102.1823353)","(22.0555972, -102.1023353)"
1,Aguascalientes,Jesús María,,449,U,63805,1878,"(21.9614863, -102.3444916)","(21.9214863, -102.3844916)","(22.0014863, -102.3044916)"
1,Aguascalientes,La Panadera,,495,R,1464,1661,"(21.8645507, -102.6958159)","(21.8445507, -102.7158159)","(21.8845507, -102.6758159)"
1,Aguascalientes,La Punta,,458,U,2607,1950,(22.323425 -102.290713),,
1,Aguascalientes,Pabellón de Arteaga,,465,U,32035,1912,"(22.1049335, -102.30162449267488)","(22.0267345, -102.4184546)","(22.1830851, -102.1908972)"
1,Aguascalientes,Pabellón de Hidalgo,,465,U,4630,1932,"(22.177104, -102.3397417)","(22.1690948, -102.3478197)","(22.183959, -102.3359438)"
1,Aguascalientes,Palo Alto,,496,U,6307,2031,"(21.9176869, -101.9639427)","(21.8776869, -102.0039427)","(21.9576869, -101.9239427)"
1,Aguascalientes,Peñuelas (El Cienegal),,449,R,1753,1860,"(21.7193439, -102.2940896)","(21.6993439, -102.3140896)","(21.7393439, -102.2740896)"
1,Aguascalientes,Pilotos,,496,R,1495,2032,"(22.038847, -101.960484)","(22.018847, -101.980484)","(22.058847, -101.940484)"
1,Aguascalientes,Asientos,,496,U,5248,2168,"(22.2381386, -102.0897755)","(22.1981386, -102.1297755)","(22.2781386, -102.0497755)"
1,Aguascalientes,Rincón de Romos,,465,U,31963,1952,"(22.2293637, -102.3229846)","(22.1893637, -102.3629846)","(22.2693637, -102.2829846)"
1,Aguascalientes,San Francisco de los Romo,,465,U,18799,1890,"(22.02194665, -102.25177759390428)","(21.9430923, -102.3103402)","(22.100328, -102.1346341)"
1,Aguascalientes,San José de Gracia,,465,U,5607,2052,"(22.1468069, -102.4127811)","(22.1390755, -102.4218062)","(22.1578965, -102.3968156)"
1,Aguascalientes,San Tadeo,,495,R,1431,1711,"(21.9185154, -102.7014857)","(21.9150768, -102.7046354)","(21.9259594, -102.6914883)"
1,Aguascalientes,Tepezalá,,465,U,5225,2101,"(22.2235054, -102.171276)","(22.1835054, -102.211276)","(22.2635054, -102.131276)"
1,Aguascalientes,Valladolid,,449,R,1348,1873,"(22.0235529, -102.3143382)","(22.0035529, -102.3343382)","(22.0435529, -102.2943382)"
2,Baja California,Alfredo V. Bonfil,,616,R,294,100,"(31.1319625, -116.1260662)","(31.1119625, -116.1460662)","(31.1519625, -116.1060662)"
2,Baja California,Bajamar,,646,,,,"(31.0599218, -116.2107672)","(31.0566333, -116.211463)","(31.0628288, -116.2101491)"
2,Baja California,Benito Juárez (Ejido Tecolotes),,658,U,4197,23,"(32.5688883, -114.9969592)",,
2,Baja California,Camalú,,616,U,11272,30,"(30.8419457, -116.0648278)","(30.8019457, -116.1048278)","(30.8819457, -116.0248278)"
2,Baja California,Ejido Chihuahua,,686,R,599,12,"(32.4863571, -115.2391987)","(32.4663571, -115.2591987)","(32.5063571, -115.2191987)"
2,Baja California,Ciudad Morelos (Cuervos),,658,U,9572,29,"(32.6305143, -114.8578665)","(32.5905143, -114.8978665)","(32.6705143, -114.8178665)"
2,Baja California,Colonia Benito García (Zorrillo),,646,,,,,,
2,Baja California,Colonia La Puerta,,686,R,672,12,"(32.3296921, -115.3308731)","(32.3096921, -115.3508731)","(32.3496921, -115.3108731)"
2,Baja California,Delta (Estación Delta),,686,U,5615,11,"(32.3536753, -115.1871047)","(32.3136753, -115.2271047)","(32.3936753, -115.1471047)"
