id,estado,renapo
1,Aguascalientes,AS
2,Baja California,BC
3,Baja California Sur,BS
4,Campeche,CC
5,Coahuila,CL
6,Colima,CM
7,Chiapas,CS
8,Chihuahua,CH
9,Ciudad de Mexico,DF
10,Durango,DG
11,Guanajuato,GT
12,Guerrero,GR
13,Hidalgo,HG
14,Jalisco,JC
15,Estado de Mexico,MC
16,Michoacan,MN
17,Morelos,MS
18,Nayarit,NT
19,Nuevo Leon,NL
20,Oaxaca,OC
21,Puebla,PL
22,Queretaro,QT
23,Quintana Roo,QR
24,San Luis Potosí,SP
25,Sinaloa,SL
26,Sonora,SR
27,Tabasco,TC
28,Tamaulipas,TS
29,Tlaxcala,TL
30,Veracruz,VZ
31,Yucatan,YN
32,Zacatecas,ZS
