artist,album,year,sales
"Anuel AA","Real Hasta la Muerte",2018,360000
"Anuel AA","Emmanuel",2020,360000
"Bad Bunny","X 100pre",2018,800000
"Bad Bunny","YHLQMDLG",2020,2199000
"Bad Bunny","El Último Tour del Mundo",2020,1202000
"Xzibit","At the Speed of Life",1996,84000
"Xzibit","40 Dayz & 40 Nightz",1998,79000
"Xzibit","Restless",2000,1000000
"Xzibit","Man vs. Machine",2002,600000
"Xzibit","Weapons of Mass Destruction",2004,500000
"Xzibit","Full Circle",2006,122000
"Xzibit","Napalm",2012,16000
"2Pac","2Pacalypse Now",1991,923455
"2Pac","Strictly 4 My N.I.G.G.A.Z...",1993,1639584
"2Pac","Me Against the World",1995,3524567
"2Pac","All Eyez on Me",1996,5887630
"2Pac","The Don Killuminati: The 7 Day Theory",1996,5000000
"Dr. Dre","The Chronic",1992,5800000
"Dr. Dre","2001",1999,7900000
"Dr. Dre","Compton",2015,560000
"Snoop Dogg","Doggystyle",1993,6957800
"Snoop Dogg","Tha Doggfather",1996,2000000
"Snoop Dogg","Da Game Is to Be Sold, Not to Be Told",1998,2000000
"Snoop Dogg","No Limit Top Dogg",1999,1518000
"Snoop Dogg","Tha Last Meal",2000,2068000
"Snoop Dogg","Paid tha Cost to Be da Boss",2002,1300000
"Snoop Dogg","R&G (Rhythm & Gangsta): The Masterpiece",2004,1724000
"Snoop Dogg","Tha Blue Carpet Treatment",2006,903210
"Snoop Dogg","Ego Trippin'",2008,401000
"Snoop Dogg","Malice n Wonderland",2009,400000
"Snoop Dogg","Doggumentary",2011,123000
"Snoop Dogg","Reincarnated",2013,104000
"Eminem","Infinite",1996,1000
"Eminem","The Slim Shady LP",1999,5433000
"Eminem","The Marshall Mathers LP",2000,11000000
"Eminem","The Eminem Show",2002,10600000
"Eminem","Encore",2004,5343000
"Eminem","Relapse",2009,2363000
"Eminem","Recovery",2010,4867000
"Eminem","The Marshall Mathers LP 2",2013,2244000
"Eminem","Revival",2017,435000
"Eminem","Kamikaze",2018,493000
"Eminem","Music to Be Murdered By",2020,1100000
"50 Cent","Get Rich or Die Tryin'",2003,8400000
"50 Cent","The Massacre",2005,5360000
"50 Cent","Curtis",2007,1336000
"50 Cent","Before I Self Destruct",2009,512000
"50 Cent","Animal Ambition",2014,124000
"N.W.A","N.W.A. and the Posse",1987,500000
"N.W.A","Straight Outta Compton",1988,3000000
"N.W.A","100 Miles and Runnin'",1990,1000000
"N.W.A","Niggaz4Life",1991,1000000
"Ice Cube","AmeriKKKa's Most Wanted",1990,1000000
"Ice Cube","Death Certificate",1991,2000000
"Ice Cube","The Predator",1992,2200000
"Ice Cube","Lethal Injection",1993,1000000
"Ice Cube","War & Peace Vol. 1 (The War Disc)",1998,1000000
"Ice Cube","War & Peace Vol. 2 (The Peace Disc)",2000,500000
"Ice Cube","Laugh Now, Cry Later",2006,547000
