edad,li.altura.h.cm,ls.altura.h.cm,li.peso.h.kg,ls.peso.h.kg,li.altura.m.cm,ls.altura.m.cm,li.peso.m.kg,ls.peso.m.kg
1,71.12,81.28,7.71,9.52,68.58,78.74,7,9
2,81.28,93.98,10.88,15.42,80.01,91.44,9.98,14.51
3,90.17,102.87,11.79,17.24,87.63,101.6,11.79,17.24
4,95.25,109.22,13.6,19.96,94.14,108.14,12.7,19.96
5,100.96,116.84,14.97,23.59,100.41,116.3,14.52,23.59
6,106.68,124.46,16.33,27.22,106.68,124.46,16.33,27.22
7,113.03,130.81,18.6,31.3,113.03,130.81,18.15,31.75
8,119.38,137.16,20.86,35.38,119.38,137.16,19.96,36.28
9,123.82,143.51,22.68,40.82,123.19,143.51,22.23,41.27
10,128.27,149.86,24.49,46.26,127,149.86,24.49,46.26
11,132.75,155.58,27.21,52.62,133.35,156.21,27.67,53.98
12,137.16,161.29,29.93,58.97,139.7,162.56,30.84,61.69
13,143.51,169.07,34.02,68.77,144.78,167.16,34.47,70.13
14,149.86,176.84,38.1,78.57,149.86,171.75,38.1,78.57
15,154.94,181.13,42.64,81.47,151.13,172.24,40.37,78.3
16,160.02,185.42,47.17,84.37,152.4,172.72,42.63,78.02
17,162.56,186.69,49.9,88,152.4,173.36,44,79.38
18,165.1,187.96,52.62,91.63,152.4,173.99,45.36,80.74
19,165.5,190,55,94,153,174.6,45.36,89
20,165.5,190.95,56,96,153.3,175,45.3,90
